client_id,date_souscription,jour_souscription,secteur,pays,taille_entreprise,plan,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_total,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,couleur_theme_interface,code_datacenter,groupe_experimentation,commentaire_csm,sante_compte_fin_periode,valeur_vie_client_eur,churn
CLI-004051,31/01/2024,mercredi,industrie,France, PME ,STARTER,12,6,2,,3,1.0,8,0,2,3,1,33.4,2,1,63.65,vert,ap-s1,control,,16,887,1
CLI-004206,20/07/2023,jeudi,Commerce,Allemagne,ETI,BUSINESS,19,218,87,39.9%,30,11.8,26,10,5,1,0,7.0 h,4,0,,bleu,eu-w3,control,Client très satisfait et actif.,77,81315,0
CLI-003518,2024-11-02,samedi, Finance ,Canada,TPE,pro,3,1,1,100.0,84,102.0,16,11,0,0,6,10.1 h,3,0,"27,02",bleu,us-e1,A,,54,620,0
CLI-000913,10 Sep 2024,mardi,,Canada,PME,pro,5,24,22,"91,7",90,"57,5",16,8,1,1,3,"16,0",2,0,623.11,violet,eu-w3,B,,53,13285,0
CLI-004945,05/02/2024,lundi,Tech,Espagne,PME, Pro ,12,13,0,,0,"0,0",16,0,0,50,0,7.7,5,0,334.5 €,sombre,us-e1,A,Faible adoption des sièges.,43,4937,0
CLI-000241,2023-05-11,jeudi, Industrie ,France,ge, Business ,21,264,126,47.7,26,"2,3",26,13,3,4,3,8.5,,0,,clair,eu-w1,control,,62,319965,0
CLI-004195,2023-12-07,jeudi, Santé ,France,GE,Enterprise,14,258,201,77.9,71,38.4,40,32,2,3,0,1.9,3,0,22929.24 €,bleu,eu-w3,A,,80,582861,0
CLI-000873,2023-05-03,mercredi,tech,France,ETI,Business,21,70,40,57.1,17,"6,4",26,10,2,4,4,"5,6",3,0,3254.13,bleu,ap-s1,A,,52,58705,0
CLI-001686,14/02/2024,mercredi,Commerce,Canada,PME,Business,12,32,18,56.2,27,11.4,26,7,0,0,0,4.5,5,1,1308.99,violet,eu-w1,B,,62,19321,0
CLI-003108,2023-09-18,lundi,Tech,France,eti,BUSINESS,17,40,34,85.0,76,"38,8",26,16,2,4,1,4.8,4,0,2021.07,sombre,eu-w3,A,,80,14915,0
CLI-001348,31 Jan 2024,mercredi, Éducation ,France,ETI,Business,12,104,84,80.8,67,52.8,26,12,3,2,0,4.8,5,0,4694.46,clair,ap-s1,control,"Compte engagé, ambassadeur potentiel.",76,65441,0
CLI-001597,08/10/2023,dimanche,Commerce,France,TPE,Starter,16,7,4,"57,1",26,15.2,8,4,2,2,2,30.8,2,0,84.02,sombre,ap-s1,A,Mécontentement exprimé au support.,16,1447,1
CLI-004576,12/05/2023,vendredi,Santé,Canada,eti,Business,21,101,15,14.9%,1,0.3,26,3,1,4,0,5.5 h,4,0,"4863,32",violet,eu-w3,control,,65,267191,0
CLI-001114,03/07/2024,mercredi,Finance,Belgique,TPE,Starter,7,8,2,25.0%,4,0.2,8,3,1,17,1,22.9,3,0,83.11 €,violet,eu-w3,B,,12,613,1
CLI-004317,16/10/2023,lundi,SANTÉ,France,ETI,Pro,16,45,14,31.1%,16,,16,6,6,2,0,9.7,4,0,1055.9,bleu,ap-s1,control,"Compte engagé, ambassadeur potentiel.",84,11256,0
CLI-004123,2024-08-27,mardi,FINANCE,France,TPE,Starter,5,7,2,,1,0.3,8,2,1,24,3,29.8,3,0,70.22 €,clair,eu-w1,A,,4,300,1
CLI-000942,2024-05-02,jeudi,,France,ETI,Pro,9,97,77,79.4,57,,16,8,3,1,4,11.0,,1,2417.45,vert,eu-w1,A,,58,51540,0
CLI-000933,10/09/2024,mardi,Santé,France,TPE,ENTERPRISE,5,7,0,0.0,0,0.0,40,0,0,56,3,5.1,3,2,458.12,sombre,eu-w3,B,,0,10143,1
CLI-003303,09/12/2023,samedi,Finance,France, ETI ,Business,14,69,36,,6,"0,6",26,8,6,1,1,3.8,4,0,2829.17 €,bleu,ap-s1,control,,72,20879,0
CLI-002573,02/09/2023,samedi,Éducation,,PME,Business,17,44,7,15.9,1,0.2,26,4,0,4,3,3.2,3,0,1968.24 €,violet,eu-w3,B,Faible adoption des sièges.,18,48419,1
CLI-000850,12/03/2024,mardi,,France,TPE,Business,11,5,2,40.0,1,0.3,26,6,3,9,3,0.8,3,1,201.38,sombre,ap-s1,B,RAS.,47,3138,0
CLI-002685,2024-10-27,dimanche,Public,France,PME,PRO,3,51,25,49.0%,21,2.7,16,3,0,0,3,"12,8",4,0,1414.48,sombre,eu-w1,control,,33,49875,1
CLI-000430,2024-01-04,jeudi,TECH,Suisse,PME,Starter,13,54,48,88.9,74,"37,0",8,3,2,1,5,23.4,4,0,806.84 €,vert,ap-s1,A,Compte dans la moyenne.,51,18525,0
CLI-000652,30 Mar 2024,samedi, Santé ,France,eti, Enterprise ,10,125,69,55.2%,16,"9,0",40,20,2,3,0,0.5,5,0,9433.05,bleu,eu-w3,A,RAS.,69,92821,0
CLI-002112,30/11/2023,jeudi,tech,Espagne,PME,Pro,14,34,23,"67,6",21,,16,7,2,3,1,13.0,4,0,855.76,clair,ap-s1,A,,68,32981,0
CLI-003370,13/02/2024,mardi,Finance,Suisse, TPE ,Starter,12,3,1,33.3,1,0.3,8,4,3,6,1,17.9 h,3,1,40.6,violet,us-e1,B,,61,1032,0
CLI-003389,20 Mar 2023,lundi,SANTÉ,France, TPE ,Starter,23,2,1,50.0,27,"8,9",8,3,2,1,0,"20,0",5,0,,sombre,eu-w1,control,RAS.,68,1396,0
CLI-000041,30 Sep 2024,lundi,Public,Suisse,TPE,PRO,4,1,1,100.0,1,0.3,16,3,1,28,3,10.1,2,0,17.95,violet,us-e1,control,,19,300,1
CLI-004309,2024-03-06,mercredi,Finance,France,TPE,STARTER,11,11,6,54.5,13,"5,6",8,3,2,2,0,"11,6",5,0,116.43 €,bleu,ap-s1,control,RAS.,53,2291,0
CLI-003936,28/08/2024,mercredi,Tech,France,TPE, Starter ,5,4,1,25.0,8,"3,7",8,2,0,2,6,,2,1,42.45,violet,eu-w1,B,,0,313,1
CLI-004990,04/12/2024,mercredi,Santé,France,ETI,Enterprise,2,188,125,"66,5",56,9.0,40,17,0,0,9,"4,4",3,0,18391.96,violet,ap-s1,A,,20,180977,1
CLI-001007,2024-10-01,mardi,tech,Suisse,pme,PRO,4,33,22,66.7,58,"31,6",16,8,1,0,1,12.2 h,3,0,907.1 €,bleu,us-e1,control,RAS.,55,11157,0
CLI-004183,13/07/2024,samedi,Tech,, ETI ,Enterprise,7,71,37,52.1,44,,40,13,0,2,0,,3,1,6134.2,vert,us-e1,control,,49,100601,0
CLI-002802,08 Mar 2024,vendredi,Commerce,France,ETI,business,11,155,52,33.5,8,1.0,26,7,1,2,4,"6,2",2,0,6856.45,violet,eu-w1,control,Mécontentement exprimé au support.,43,78712,0
CLI-000894,2024-03-28,jeudi,Public,Suisse, TPE , Pro ,10,4,3,75.0,73,"57,9",16,6,3,0,0,,4,1,"118,06",sombre,ap-s1,control,,26,1355,1
CLI-004611,03 Sep 2023,dimanche,commerce,Allemagne,TPE,starter,17,3,2,66.7%,62,"30,3",8,5,4,0,1,16.6,4,0,33.6,sombre,us-e1,A,,82,579,0
CLI-000636,2023-05-19,vendredi,Finance,Canada,PME,Business,21,33,25,75.8%,67,"70,9",26,10,3,1,0,5.5,5,0,1956.77 €,sombre,eu-w3,control,Client très satisfait et actif.,81,97878,0
CLI-001148,2024-11-06,mercredi,Finance,,eti,Business,3,40,10,25.0,2,,26,10,0,3,0,0.7,5,1,1960.42,violet,eu-w1,control,Suivi standard.,51,14468,0
CLI-004472,13 Aug 2023,dimanche,Public,Canada,ETI,Pro,18,86,35,40.7,13,0.6,16,7,2,0,1,"8,9",3,0,2521.35,sombre,eu-w3,control,,61,248101,0
CLI-002963,2024-05-11,samedi,tech,France,TPE,pro,9,5,2,40.0,11,4.7,16,2,1,1,8,"16,2",3,1,"139,77",bleu,eu-w1,A,Support très sollicité récemment.,44,2865,0
CLI-000804,09/04/2023,dimanche,Public,Belgique,PME, Starter ,22,45,10,22.2,5,,8,2,2,8,0,7.7,5,0,561.54,bleu,us-e1,control,,69,9209,0
CLI-003841,30/03/2024,samedi,INDUSTRIE,Espagne,pme,Business,10,13,12,92.3,107,"72,6",26,18,4,0,6,,4,0,512.14,clair,eu-w1,A,Client très satisfait et actif.,70,8399,0
CLI-001991,20/11/2022,dimanche, Public ,France,PME, Business ,27,49,18,36.7%,10,6.5,26,9,8,5,2,4.1,3,0,"2614,17",sombre,us-e1,control,Compte dans la moyenne.,62,117899,0
CLI-004266,2024-07-10,mercredi,,France, TPE ,Starter,7,3,2,66.7,36,17.1,8,5,1,0,7,33.9,4,1,"38,81",violet,eu-w1,B,Support très sollicité récemment.,11,446,1
CLI-002929,09 Sep 2022,vendredi,industrie,France,PME,PRO,29,56,45,80.4,61,"25,0",16,7,6,1,1,14.1,3,0,1571.81,violet,eu-w3,B,,82,69600,0
CLI-000922,2024-09-06,vendredi, Industrie ,Suisse,PME, Starter ,5,29,19,"65,5",18,"4,8",8,4,0,1,1,15.7,5,2,296.95,vert,us-e1,control,RAS.,59,4870,0
CLI-002469,31/08/2024,samedi,Industrie,France,PME, Business ,5,48,17,35.4%,1,"0,2",26,6,1,0,1,2.4 h,3,0,2222.23,clair,eu-w1,control,,53,76534,0
CLI-002420,05/04/2023,mercredi,COMMERCE,France,PME,pro,22,13,4,30.8,3,"1,1",16,2,4,1,3,13.9,4,0,299.59,clair,ap-s1,A,,63,5650,0
CLI-002755,06/01/2024,samedi,Public,Suisse,PME,PRO,13,50,19,38.0,15,2.2,16,10,2,3,0,5.6 h,5,0,1304.64 €,violet,eu-w3,B,Compte dans la moyenne.,51,11768,0
CLI-003233,11/07/2024,jeudi, Tech ,France,pme,Pro,7,55,42,"76,4",49,"31,4",16,6,3,0,0,"11,2",,0,1490.2,bleu,eu-w3,B,,58,40325,0
CLI-002926,29/12/2024,dimanche, Éducation ,Belgique,TPE,Starter,1,3,1,33.3,24,5.0,8,3,0,0,1,21.2,3,2,34.35,vert,ap-s1,A,,40,535,0
CLI-003635,05 Aug 2024,lundi,commerce,Canada,PME,Starter,6,56,33,58.9,33,15.6,8,2,3,0,2,20.2,,1,"553,25",vert,us-e1,A,,52,7259,0
CLI-000303,03/04/2024,mercredi, Éducation ,France,PME, Pro ,10,55,0,0.0,0,0.0,16,0,0,104,0,7.3,,1,1252.76,vert,eu-w3,control,,7,10273,1
CLI-003263,31/08/2023,jeudi,Commerce,France, PME ,Starter,17,15,5,,13,,8,3,4,1,7,"34,7",1,0,185.74,sombre,ap-s1,control,"Client insatisfait, risque de départ.",46,1980,0
CLI-001268,08 May 2024,mercredi,santé,Espagne,TPE,STARTER,9,1,1,"100,0",4,2.9,8,2,4,5,2,"19,8",4,1,9.11 €,violet,us-e1,B,,54,300,0
CLI-000129,25/09/2024,mercredi,Éducation,France,PME,enterprise,4,28,21,"75,0",82,"55,2",40,25,0,2,0,3.0 h,5,1,2367.1,violet,ap-s1,control,,67,54349,0
CLI-002762,01 Jun 2024,samedi,Finance,Suisse,ETI,Enterprise,8,130,96,73.8,54,30.5,40,15,1,1,1,0.9,5,3,11294.73 €,clair,eu-w3,control,,59,203757,0
CLI-003896,05 Nov 2023,dimanche,Tech,France,ETI,Enterprise,15,50,32,64.0%,33,6.7,40,22,3,0,0,0.5,5,0,4636.02,sombre,eu-w3,A,,78,110245,0
CLI-001192,12/02/2024,lundi,COMMERCE,Allemagne, PME ,Pro,12,12,8,66.7%,40,"30,5",16,11,1,1,3,15.7,,0,,bleu,eu-w3,control,,51,7363,0
CLI-002502,02/01/2025,jeudi,Tech,France, PME ,Pro,1,35,7,20.0,1,0.1,16,3,0,8,0,10.1,5,3,"676,36",violet,ap-s1,control,Faible adoption des sièges.,48,2218,0
CLI-002950,11 Apr 2024,jeudi,commerce,France,TPE,Pro,10,2,1,50.0,13,"4,0",16,1,3,2,0,3.7,4,0,48.41,sombre,eu-w3,A,"Compte engagé, ambassadeur potentiel.",67,397,0
CLI-001110,05 Jan 2025,dimanche,Public,Belgique,pme, Pro ,1,40,18,45.0%,12,11.6,16,6,0,5,0,10.5,4,3,888.26 €,sombre,us-e1,B,RAS.,49,10926,0
CLI-000962,10/06/2024,lundi,,France,ETI, Business ,8,179,117,"65,4",43,"8,1",26,11,2,3,2,4.8,4,0,8050.34,bleu,eu-w3,B,,58,59412,0
CLI-004197,30/10/2023,lundi,Commerce,Suisse,TPE, Starter ,15,11,3,27.3%,11,"4,6",8,2,5,1,0,11.0,,0,149.93,bleu,eu-w1,B,,74,9467,0
CLI-000831,2022-08-06,samedi,INDUSTRIE,,TPE,Enterprise,30,11,6,,1,0.3,40,3,8,1,5,4.9,3,0,847.56,clair,eu-w1,B,,76,20155,0
CLI-001844,07 Jan 2025,mardi,SANTÉ,France, TPE ,STARTER,1,10,2,20.0%,2,0.1,8,2,0,10,3,27.3,2,2,100.81,sombre,ap-s1,control,,4,827,1
CLI-004124,2023-09-18,lundi, Commerce ,France,eti,pro,17,97,31,32.0,4,"0,2",16,9,1,2,1,17.6,3,0,1856.64,sombre,eu-w1,B,,58,6090,0
CLI-002360,05/11/2024,mardi,Commerce,Allemagne,TPE,PRO,3,8,2,25.0,4,1.6,16,8,0,0,0,13.5,4,0,"188,49",bleu,us-e1,B,,51,1700,0
CLI-003046,2024-03-04,lundi,Commerce,Suisse,TPE,Pro,11,10,6,"60,0",24,"15,4",16,6,3,5,1,10.0,5,2,259.57,bleu,us-e1,control,"Compte engagé, ambassadeur potentiel.",64,3618,0
CLI-001916,13 Aug 2024,mardi,Éducation,,ETI,Business,6,170,104,,4,0.8,26,17,0,1,4,,4,1,7702.8,bleu,eu-w1,control,,13,31581,1
CLI-002359,01 Dec 2023,vendredi,Commerce,France,PME,business,14,10,4,40.0%,10,1.6,26,5,3,2,1,8.3 h,3,0,547.32,clair,eu-w1,A,,64,9425,0
CLI-003975,02 Jun 2024,dimanche,Tech,Belgique,TPE,PRO,8,1,1,"100,0",53,15.7,16,5,2,0,1,9.6,3,0,25.86,bleu,us-e1,A,Suivi standard.,56,509,0
CLI-002679,14/02/2024,mercredi,Tech,France,TPE,Starter,12,6,4,66.7,28,8.8,8,3,1,1,3,32.8,2,0,67.36,vert,eu-w3,B,Mécontentement exprimé au support.,6,552,1
CLI-001444,05 Dec 2023,mardi,santé,Suisse,PME,PRO,14,13,7,53.8%,26,18.4,16,5,5,0,0,"1,1",5,0,331.18,violet,us-e1,A,,81,13578,0
CLI-003144,2023-10-13,vendredi, Commerce ,France,TPE,STARTER,16,6,4,66.7,29,9.0,8,4,1,0,1,17.5,4,0,80.29,vert,us-e1,control,,37,658,1
CLI-002162,12 Oct 2024,samedi, Industrie ,France,TPE,Pro,4,11,10,90.9,56,47.5,16,7,0,1,3,15.5,4,1,287.56 €,vert,eu-w3,control,RAS.,58,7781,0
CLI-004635,09/12/2022,vendredi,Finance,Espagne,GE,business,26,215,138,64.2,63,11.7,26,15,6,3,0,5.3,5,0,11834.14,violet,us-e1,B,,75,591944,0
CLI-004999,2024-06-10,lundi,SANTÉ,Canada,pme,Business,8,41,18,"43,9",28,14.8,26,6,3,7,0,2.9 h,3,1,1865.51,vert,eu-w1,control,,58,7649,0
CLI-004726,11/12/2024,mercredi,Industrie,Allemagne,ge, Enterprise ,2,604,202,33.4,3,0.2,40,1,0,3,5,7.3,2,1,47473.24 €,violet,us-e1,A,,0,973201,1
CLI-000793,01/12/2023,vendredi,finance,France,PME,Starter,14,28,14,50.0,11,3.3,8,1,2,6,5,17.9,3,0,355.71,sombre,eu-w3,B,,17,6417,1
CLI-001237,04/06/2024,mardi,,France,PME,Business,8,27,8,29.6,12,4.7,26,6,1,0,2,6.7,4,1,1170.16,sombre,eu-w1,B,,63,19191,0
CLI-003012,30/10/2023,lundi,Finance,Espagne,PME,Pro,15,56,19,33.9,7,1.8,16,3,4,1,0,"4,9",3,0,1235.64,violet,us-e1,B,Suivi standard.,66,16212,0
CLI-004452,08/01/2025,mercredi,SANTÉ,Belgique,PME,Pro,1,16,11,68.8%,45,38.4,16,6,0,0,0,13.0,5,3,392.98,sombre,us-e1,B,,49,11601,0
CLI-002720,29 Dec 2023,vendredi,Industrie,France,PME,Business,13,30,25,83.3,60,"48,0",26,15,2,3,1,,4,0,"1650,19",bleu,eu-w1,control,,60,37888,0
CLI-004872,2024-03-03,dimanche,Finance,France,ETI, Pro ,11,54,16,29.6,1,0.1,16,3,3,5,2,7.7,5,0,1407.37 €,clair,ap-s1,A,,61,25389,0
CLI-002331,11/03/2024,lundi,Industrie,France,PME,Starter,11,8,3,37.5%,3,0.5,8,0,1,3,5,32.9,3,1,"109,74",bleu,us-e1,A,Suivi standard.,36,2610,0
CLI-001164,2024-12-07,samedi,Tech,France,eti,enterprise,2,211,156,73.9,61,"11,8",40,19,0,1,0,1.4,5,1,"19291,93",sombre,ap-s1,control,,66,284749,0
CLI-002729,12/08/2022,vendredi,TECH,France,TPE,Starter,30,11,4,36.4%,6,"4,0",8,3,7,0,6,21.2,3,0,136.78,clair,eu-w1,control,,30,8748,1
CLI-001567,13 Jul 2024,samedi,Finance,Belgique,PME, Business ,7,20,0,0.0,0,0.0,26,0,0,34,2,"4,8",3,1,"716,17",clair,us-e1,A,Déploiement interne limité.,32,22903,0
CLI-000907,2023-07-07,vendredi,tech,Belgique,TPE,starter,19,1,1,100.0%,4,"0,2",8,3,6,6,4,"34,4",2,0,11.92,violet,ap-s1,B,"Client insatisfait, risque de départ.",63,450,0
CLI-000020,2024-04-08,lundi,Santé,France,GE,Business,10,816,113,13.8,1,"0,2",26,3,0,16,1,7.4,2,3,35724.92,bleu,us-e1,A,,12,937422,1
CLI-004430,01 Mar 2024,vendredi, Public ,France,tpe,Pro,11,7,5,71.4,58,40.8,16,13,4,1,0,10.1,5,0,193.42,bleu,us-e1,A,Client très satisfait et actif.,81,7137,0
CLI-004971,26 Oct 2024,samedi, Commerce ,France, GE ,Business,3,407,86,21.1,1,"0,1",26,1,0,30,3,6.6,4,1,18013.75,clair,eu-w1,control,,2,177255,1
CLI-000352,2024-06-09,dimanche,Industrie,France,ETI,Pro,8,128,116,"90,6",83,31.3,16,9,0,0,1,12.8,3,0,3098.68,bleu,eu-w1,control,Compte dans la moyenne.,69,55900,0
CLI-003949,2024-12-25,mercredi,Industrie,Canada,ETI,pro,1,80,33,41.2,15,"7,0",16,4,0,4,0,12.4,2,2,1767.39,sombre,eu-w1,A,,43,23188,0
CLI-004517,26 Jun 2024,mercredi,Commerce,Canada,TPE, Starter ,7,6,2,"33,3",1,0.1,8,2,2,2,2,23.8,4,0,"60,78",vert,ap-s1,B,Suivi standard.,48,399,0
CLI-000032,2024-12-26,jeudi,Finance,Suisse,ETI,pro,1,102,14,,1,"0,1",16,2,0,18,2,8.8,3,1,2242.92,sombre,ap-s1,control,Faible adoption des sièges.,8,31266,1
CLI-002951,03 Dec 2024,mardi, Tech ,Belgique,PME, Pro ,2,45,27,60.0%,12,9.7,16,5,1,7,1,10.8,4,3,956.38,violet,eu-w3,B,,40,20390,0
CLI-004677,01/01/2025,mercredi,finance,France, TPE ,Pro,1,6,4,66.7,31,"18,8",16,9,0,0,1,14.6,,1,147.33,bleu,eu-w1,B,,57,2537,0
CLI-001127,13/11/2023,lundi, Commerce ,France, TPE ,Starter,15,6,2,33.3,1,"0,7",8,0,1,11,5,27.6,,1,"73,37",bleu,eu-w1,B,Compte dans la moyenne.,37,1564,0
CLI-002770,2023-07-15,samedi,Commerce,Allemagne,TPE, Starter ,19,4,3,"75,0",70,36.4,8,4,2,0,0,20.2,3,0,57.11,clair,ap-s1,control,Compte dans la moyenne.,64,2997,0
CLI-002022,01 Feb 2024,jeudi,Éducation,France, PME ,Pro,12,17,7,41.2,2,"1,3",16,3,6,13,5,15.4,,0,446.9,vert,ap-s1,B,"Client insatisfait, risque de départ.",42,8062,0
CLI-002607,06 Sep 2024,vendredi, Tech ,France,pme,starter,5,25,13,"52,0",23,,8,3,0,1,6,35.6 h,3,4,318.77,vert,eu-w1,B,,0,6535,1
CLI-000564,2025-01-09,jeudi,Tech,France,ETI,Enterprise,1,116,0,0.0,0,0.0,40,0,0,30,4,3.7,3,2,8284.23,vert,us-e1,B,Déploiement interne limité.,0,33965,1
CLI-000600,2024-05-10,vendredi,COMMERCE,Belgique,PME,Pro,9,9,4,"44,4",7,"0,4",16,6,0,1,0,,5,0,240.37,bleu,eu-w1,control,Compte dans la moyenne.,72,3351,0
CLI-002257,2024-12-26,jeudi,Commerce,France,PME,Business,1,46,10,"21,7",1,0.1,26,7,0,30,2,,3,2,1800.79 €,bleu,eu-w1,B,,0,31010,1
CLI-001161,2024-06-30,dimanche, Commerce ,Allemagne,TPE,starter,7,4,2,"50,0",15,7.5,8,2,2,2,0,15.2,5,2,43.99,sombre,eu-w1,A,Compte dans la moyenne.,57,469,0
CLI-003319,30 Aug 2024,vendredi,Finance,France, TPE ,starter,5,6,5,83.3,28,5.0,8,3,1,0,3,"27,5",2,1,,bleu,ap-s1,A,,14,1381,1
CLI-000791,24 Oct 2024,jeudi,TECH,France,ge, Business ,3,679,81,11.9%,1,0.1,26,4,0,1,5,11.0,2,2,26445.87,clair,us-e1,control,,4,260227,1
CLI-000594,15/12/2023,vendredi,Tech,France,tpe,Pro,14,3,3,100.0,106,"81,1",16,13,2,0,6,"17,5",3,0,87.2,bleu,us-e1,control,,59,1287,0
CLI-004290,11/08/2024,dimanche,santé,France,TPE,Starter,6,4,1,"25,0",3,0.9,8,2,4,4,0,15.9,3,1,55.24,sombre,eu-w1,control,,50,1767,0
CLI-004450,09/01/2024,mardi,Santé,France,PME,business,13,57,25,"43,9",4,2.3,26,10,4,12,0,3.8 h,4,0,2620.38,violet,eu-w1,A,RAS.,78,27933,0
CLI-004207,23/12/2024,lundi,Finance,Espagne,PME,business,1,22,10,45.5%,15,"8,8",26,10,,0,0,4.2 h,,1,794.72,sombre,eu-w3,A,,62,10427,0
CLI-001385,2024-03-14,jeudi,Commerce,France,ETI,business,11,76,22,"28,9",7,0.9,26,11,0,2,1,4.7,3,1,"3314,74",bleu,us-e1,A,Suivi standard.,45,46207,0
CLI-000939,07 Dec 2024,samedi,Industrie,France,PME,Pro,2,56,43,76.8%,52,18.8,16,6,0,1,1,7.5,5,2,1317.65,violet,ap-s1,A,Compte dans la moyenne.,54,8644,0
CLI-003887,04 Apr 2024,jeudi,Santé,Suisse,PME, Pro ,10,11,8,72.7%,40,12.4,16,7,0,1,6,19.9,3,0,322.01 €,bleu,eu-w3,A,,27,5281,1
CLI-000689,28/12/2024,samedi,Tech,Espagne,PME,PRO,1,41,27,65.9,29,"11,6",16,7,0,2,1,"8,9",,1,1099.09,bleu,eu-w3,control,RAS.,55,57680,0
CLI-002511,27 Dec 2024,vendredi,industrie,Suisse, TPE ,Pro,1,1,1,100.0%,66,"19,7",16,7,0,1,1,"5,7",4,0,"20,4",violet,us-e1,B,RAS.,66,535,0
CLI-004638,04 Feb 2024,dimanche,SANTÉ,Canada, PME , Pro ,12,56,44,78.6,70,,16,11,3,0,0,10.1,,0,1484.57,bleu,eu-w1,B,Client très satisfait et actif.,78,65737,0
CLI-000407,07/03/2023,mardi,Industrie,Canada, TPE , Pro ,23,6,2,33.3,1,"0,1",16,0,7,3,4,"15,3",3,0,"134,62",sombre,eu-w1,control,,61,11812,0
CLI-002179,2024-11-11,lundi,SANTÉ,Canada,ETI,Enterprise,3,70,7,10.0%,1,"0,1",40,4,0,28,0,0.5,4,0,3558.53,clair,ap-s1,B,Faible adoption des sièges.,47,20426,0
CLI-004787,08 Apr 2024,lundi, Industrie ,France,ge,Business,10,231,159,68.8,56,"19,5",26,15,1,1,0,4.0,5,1,9905.13,vert,eu-w1,A,,75,219300,0
CLI-004618,04/01/2025,samedi,Public,Belgique,ETI,business,1,88,29,33.0,17,"3,6",26,9,0,2,5,6.0,3,1,4306.18 €,clair,us-e1,control,,44,91808,0
CLI-001096,02/04/2024,mardi,santé,,PME,Pro,10,48,14,29.2%,5,0.9,16,3,2,2,2,11.5 h,3,0,1242.47,clair,us-e1,A,RAS.,43,27508,0
CLI-001487,04 Nov 2023,samedi,Commerce,Canada,TPE,starter,15,3,1,33.3,1,"0,1",8,1,5,8,7,29.5,2,0,34.14,clair,eu-w1,A,,13,840,1
CLI-000777,09/01/2024,mardi,Public,France,tpe, Business ,13,5,2,40.0%,16,0.8,26,4,1,0,5,"10,1",3,0,241.57 €,vert,us-e1,A,,49,23770,0
CLI-002603,2024-12-27,vendredi,Finance,Belgique,TPE,Pro,1,7,3,42.9,16,"1,1",16,9,0,1,5,12.7,3,2,"156,74",bleu,eu-w1,control,,6,1542,1
CLI-001028,01/06/2024,samedi,santé,France,TPE,Starter,8,4,0,0.0,0,0.0,8,0,0,109,0,"5,8",5,2,44.02,vert,us-e1,A,,0,614,1
CLI-004070,14/09/2023,jeudi,SANTÉ,Canada,TPE,Starter,17,8,7,87.5,80,34.4,8,3,7,0,1,"26,1",,0,115.41,sombre,ap-s1,control,,76,4259,0
CLI-000743,2024-10-07,lundi,Commerce,France,PME,Business,4,37,25,67.6%,43,"17,5",26,14,1,0,5,9.0,2,1,1987.29,clair,eu-w1,control,,43,146662,0
CLI-002344,2024-06-06,jeudi,,Belgique,TPE,PRO,8,7,1,14.3,4,0.7,16,2,1,10,2,"11,8",4,1,187.89 €,sombre,eu-w1,B,Faible adoption des sièges.,17,5392,1
CLI-003640,01/08/2024,jeudi,Finance,France,TPE,Business,6,5,3,,34,10.9,26,10,4,1,7,,2,0,261.31,vert,us-e1,B,,57,2357,0
CLI-002987,01 Jan 2025,mercredi,commerce,France,ETI,Business,1,49,37,75.5,70,53.9,26,12,0,0,2,8.5,3,0,"2458,83",sombre,eu-w1,A,Suivi standard.,53,76617,0
CLI-004409,2024-11-26,mardi,COMMERCE,France, PME ,Starter,2,22,12,"54,5",18,9.0,8,4,1,1,0,14.0,4,1,288.35,clair,us-e1,A,,55,8749,0
CLI-003113,09 Nov 2023,jeudi,Commerce,Suisse,ETI,Pro,15,43,17,39.5,6,2.1,16,5,7,6,3,11.4 h,3,0,1203.14,violet,eu-w3,B,,70,17758,0
CLI-002151,2022-12-17,samedi,ÉDUCATION,Belgique,PME, Pro ,26,27,10,37.0,13,0.9,16,8,4,1,3,13.0,2,0,"735,83",clair,ap-s1,B,,59,51891,0
CLI-002178,2025-01-07,mardi, Commerce ,,TPE,Pro,1,3,1,33.3,12,3.0,16,4,0,3,0,12.7,5,2,,bleu,ap-s1,control,,47,371,0
CLI-001277,06 Jan 2025,lundi,SANTÉ,Espagne,GE,Enterprise,1,176,138,78.4,60,15.3,40,26,1,1,0,,4,5,13769.98,violet,us-e1,A,Suivi standard.,24,248410,1
CLI-001978,13 Dec 2023,mercredi, Public ,France,PME,business,14,32,9,28.1,1,0.1,26,9,5,10,5,5.0 h,2,1,1209.05,bleu,eu-w1,control,,15,19828,1
CLI-002765,09/11/2023,jeudi,Finance,Belgique,tpe,Starter,15,6,5,83.3%,17,9.0,8,4,2,0,5,,3,0,76.59 €,bleu,eu-w1,B,,61,1947,0
CLI-001232,2025-01-06,lundi,Tech,France,GE,Enterprise,1,677,329,48.6,11,"5,8",40,12,0,1,1,0.5,4,5,"59465,08",clair,us-e1,control,,20,1316557,1
CLI-003438,2025-01-06,lundi,Commerce,France,PME, Pro ,1,44,27,61.4,33,"24,7",16,12,0,2,4,,2,2,1213.78,clair,ap-s1,B,,0,25878,1
